group_by	group_level	n_cells	feature_id	feature_name	target_class	assay	feature	mean_CLR	mean_ADT_CLR	mean_HTO_CLR	status	message
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0040	mAOC-CD45RA	cd45_isoform	ADT	mAOC-CD45RA	0.161906039306689	0.161906039306689	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0040	mAOC-CD45RA	cd45_isoform	ADT	mAOC-CD45RA	1.2980191841199	1.2980191841199	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0040	mAOC-CD45RA	cd45_isoform	ADT	mAOC-CD45RA	1.14462453873392	1.14462453873392	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0040	mAOC-CD45RA	cd45_isoform	ADT	mAOC-CD45RA	0.0770857986067603	0.0770857986067603	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0040	mAOC-CD45RA	cd45_isoform	ADT	mAOC-CD45RA	0.492879865768577	0.492879865768577	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0040	mAOC-CD45RA	cd45_isoform	ADT	mAOC-CD45RA	1.56753968264451	1.56753968264451	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0040	mAOC-CD45RA	cd45_isoform	ADT	mAOC-CD45RA	3.35786791028099	3.35786791028099	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0041	mAOC-CD80	gene	ADT	mAOC-CD80	0.0461405394154555	0.0461405394154555	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0041	mAOC-CD80	gene	ADT	mAOC-CD80	0.0164174772594065	0.0164174772594065	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0041	mAOC-CD80	gene	ADT	mAOC-CD80	0.00550584468228644	0.00550584468228644	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0041	mAOC-CD80	gene	ADT	mAOC-CD80	0.0210140407299048	0.0210140407299048	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0041	mAOC-CD80	gene	ADT	mAOC-CD80	0.0265817763746231	0.0265817763746231	NA	ok	
