group_by	group_level	n_cells	feature_id	feature_name	target_class	validation_assay	validation_feature	mean_ADT_CLR	status	message	mean_RNA_lognormalized
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0160	mAOC-CD161	gene	RNA	KLRB1	0.0205100201477626	ok		0.000344285671976053
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0160	mAOC-CD161	gene	RNA	KLRB1	0.0555474832801496	ok		0.00335407883312899
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0160	mAOC-CD161	gene	RNA	KLRB1	0.130189734786463	ok		0
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0160	mAOC-CD161	gene	RNA	KLRB1	0.573450650397814	ok		0.303584965860912
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0161	mAOC-CD38	gene	RNA	CD38	3.98129160003969	ok		0.193506680125956
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0161	mAOC-CD38	gene	RNA	CD38	3.29220517568028	ok		0.131669491183293
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0161	mAOC-CD38	gene	RNA	CD38	4.46531720363702	ok		0.392460069741266
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0161	mAOC-CD38	gene	RNA	CD38	4.61683111506275	ok		0.340178409953825
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0161	mAOC-CD38	gene	RNA	CD38	3.01181424991942	ok		0.0737613277300549
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0161	mAOC-CD38	gene	RNA	CD38	3.26670639931547	ok		0.122570604293703
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0161	mAOC-CD38	gene	RNA	CD38	3.41387904117918	ok		0.149112826298679
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0161	mAOC-CD38	gene	RNA	CD38	2.82106963579745	ok		0.0531320652086208
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0161	mAOC-CD38	gene	RNA	CD38	4.27309115220156	ok		0.45550813944898
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0166	mAOC-CD1d	gene	RNA	CD1D	0.106946045290603	ok		0.00145799919388839
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0166	mAOC-CD1d	gene	RNA	CD1D	0.0632460840096357	ok		0.00279477668892911
