feature_id	feature_name	target_class	human_gene_symbol	validation_assay	validation_feature	mapping_method	mapping_confidence	mapping_needs_llm_review	mapping_needs_manual_review	group_by	expected_positive_groups	prior_method	prior_confidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	step5_needs_manual_review	step5_review_reason	correlation_status	spearman_correlation	pearson_correlation	linear_model_r_squared	n_groups	positive_rate	positive_n_cells	target_positive_rate	non_target_positive_rate	tnr_raw	target_dropout_pct	gmm_quality_status	adt_signal_class	adt_signal_reason	final_label	final_confidence	decision_source	final_reason	recommended_action	llm_review_needed	llm_review_reason	candidate_labels
mAOC0301	mAOC-CD16	gene	FCGR3A	RNA	FCGR3A	llm:name_to_gene	0.86	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	Monocyte;NK/T	local_marker_prior	0.95	MKP;Monocyte;NK/T	MEBEMP-L;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	FALSE		ok	0.564384099496704	0.897461028306282	0.805436297328569	9	0.0903	12	3.536977	0.007705	10.253048	90.996785	rare_positive	rare_target_enriched_low_count	Very few positive cells, but positives are target-enriched; treat as biologically plausible but unstable.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched_low_count.	Use as target-consistent ADT feature.	FALSE		
mAOC0303	mAOC-CD56	gene	NCAM1	RNA	NCAM1	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	MKP;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	NK/T	NK/T	FALSE		ok	0.491596040125088	0.460580663125987	0.212134547245573	9	NA	NA	NA	NA	1.939927	89.655172	unimodal_like	target_raw_enriched_no_threshold	Target raw UMI is enriched, but no usable threshold was selected.	llm_review_needed		rule:llm_queue	Step 6 signal class is target_raw_enriched_no_threshold, which requires semantic review.	Send structured evidence to LLM for final triage label.	TRUE	Step 6 signal class is target_raw_enriched_no_threshold, which requires semantic review.	correct;suspicious;wrong;no_signal
mAOC0305	mAOC-CD8a	gene	CD8A	RNA	CD8A	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;GMP-L;NK/T	GMP-L;HSC_MPP;NK/T	GMP-L;NK/T	NK/T	NK/T	FALSE		ok	0.0334730963502289	0.995206096171113	0.990435173856147	9	0.428926	57	20.689655	0.250512	408.295125	59.482759	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	llm_review_needed		rule:llm_queue	RNA-ADT Spearman correlation is below threshold: 0.033 < 0.200. | Step 6 signal is target-enriched (rare_target_enriched), but other evidence needs semantic adjudication.	Send structured evidence to LLM for final triage label.	TRUE	RNA-ADT Spearman correlation is below threshold: 0.033 < 0.200. | Step 6 signal is target-enriched (rare_target_enriched), but other evidence needs semantic adjudication.	correct;suspicious
mAOC0315	mAOC-CD3	gene	CD3E	RNA	CD3E	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;MKP;NK/T	CLP;HSC_MPP;NK/T	NK/T	NK/T	NK/T	FALSE		ok	0.35	0.975737301994453	0.952063282503415	9	3.032583	403	37.068966	2.732863	33.252477	44.827586	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
mAOC0319	mAOC-CD79b	gene	CD79B	RNA	CD79B	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;Monocyte;NK/T	B;CLP;NK/T	B;NK/T	B	B	FALSE		ok	0.65	0.776150792600457	0.602410052854317	9	0.970728	129	11.96319	0.403577	5.213529	75.460123	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
mAOC0321	mAOC-CD57	gene	B3GAT1	RNA	B3GAT1	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	GMP-L;MKP;Monocyte	HSC_MPP;MEBEMP-L				TRUE	No observed ADT-high group overlaps expected prior groups.	ok	-0.229174624257053	-0.394920827162591	0.155962459726785	9	0.022575	3	0	0.022774	0	100	rare_positive	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	llm_review_needed		rule:llm_queue	Step 5 prior review marked this row as needing manual review. | RNA-ADT Spearman correlation is below threshold: -0.229 < 0.200. | Step 6 detected an ADT-positive distribution, but it is off-target relative to expected groups.	Send structured evidence to LLM for final triage label.	TRUE	Step 5 prior review marked this row as needing manual review. | RNA-ADT Spearman correlation is below threshold: -0.229 < 0.200. | Step 6 detected an ADT-positive distribution, but it is off-target relative to expected groups.	correct;suspicious;wrong
mAOC0324	mAOC-CD49d	gene	ITGA4	RNA	ITGA4	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	MKP;Monocyte;NK/T	ERYP;GMP-L;NK/T	NK/T			FALSE		ok	-0.266666666666667	0.0738213767438856	0.00544959566436271	9	0.1505	20	NA	NA	NA	NA	rare_positive	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	llm_review_needed		rule:llm_queue	RNA-ADT Spearman correlation is below threshold: -0.267 < 0.200. | Step 6 signal class is no_target_detected_signal, which requires semantic review.	Send structured evidence to LLM for final triage label.	TRUE	RNA-ADT Spearman correlation is below threshold: -0.267 < 0.200. | Step 6 signal class is no_target_detected_signal, which requires semantic review.	correct;suspicious;wrong;no_signal
mAOC0326	mAOC-CD5	gene	CD5	RNA	CD5	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B;CLP;NK/T	llm_marker_prior	0.9	B;CLP;NK/T	B;Monocyte;NK/T	B;NK/T	B;CLP;NK/T	B;NK/T	FALSE		ok	0.796724616754452	0.814517551758212	0.663438842122191	9	5.688916	756	49.450549	1.048689	46.038249	35.871272	trimodal_candidate	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as target_enriched.	Use as target-consistent ADT feature.	FALSE		
mAOC0330	mAOC-CD49b	gene	ITGA2	RNA	ITGA2	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	B;MKP;NK/T	HSC_MPP;MEBEMP-L;MKP	MKP			FALSE		ok	-0.552306089778777	-0.290563932880209	0.0844273990908149	9	0.173075	23	NA	NA	NA	NA	rare_positive	no_target_no_signal	No expected target groups, low positive rate, and low global signal.	no_signal	0.95	rule:no_signal	Step 6 classified ADT signal as no_target_no_signal.	Treat as no detectable ADT signal unless later biological context suggests an ultra-rare target.	FALSE		
mAOC0331	mAOC-CD226	gene	CD226	RNA	CD226	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	Monocyte;NK/T	llm_marker_prior	0.85	MKP;Monocyte;NK/T	MKP;Monocyte;NK/T	MKP;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	FALSE		ok	0.666666666666667	0.962043136343254	0.925526996185164	9	1.96403	261	28.29582	1.333025	9.879358	41.157556	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
mAOC0334	mAOC-CD96	gene	CD96	RNA	CD96	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	llm_marker_prior	0.85	B;ERYP;MEBEMP-L	B;CLP;NK/T	B		NK/T	TRUE	No observed ADT-high group overlaps LLM expected groups.	ok	-0.416666666666667	-0.350230880944462	0.122661669967134	9	0	0	0	0	0.723314	99.137931	rare_positive	no_target_enrichment	Target and non-target signal are not clearly separated.	llm_review_needed		rule:llm_queue	Step 5 prior review marked this row as needing manual review. | RNA-ADT Spearman correlation is below threshold: -0.417 < 0.200. | Step 6 signal class is no_target_enrichment, which requires semantic review.	Send structured evidence to LLM for final triage label.	TRUE	Step 5 prior review marked this row as needing manual review. | RNA-ADT Spearman correlation is below threshold: -0.417 < 0.200. | Step 6 signal class is no_target_enrichment, which requires semantic review.	correct;suspicious;wrong;no_signal
