group_by	feature_id	feature_name	target_class	validation_assay	validation_feature	validation_signal	pearson_correlation	spearman_correlation	linear_model_slope	linear_model_r_squared	n_groups	min_cells_per_group	status	message
Adult_cHSPCs_Ultima_majority_voting	mAOC0532	mAOC-CD314	gene	RNA	KLRK1	RNA log-normalized group mean	0.808426724056597	0.117155837225801	0.418367270104408	0.653553768168882	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0533	mAOC-CD274	gene	RNA	CD274	RNA log-normalized group mean	-0.0403036188193479	0.433333333333333	-0.0247974151203339	0.00162438168993529	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0534	mAOC-CD64	gene	RNA	FCGR1A	RNA log-normalized group mean	-0.401926909215249	-0.209206852188931	-1.16201633367913	0.161545240351323	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0540	mAOC-CD117	gene	RNA	KIT	RNA log-normalized group mean	-0.574921190326398	-0.85	-0.524855505418675	0.330534375086322	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0541	mAOC-KLB	gene	RNA	KLB	RNA log-normalized group mean	0.351011087681587	-0.252412601135762	68.5911483472348	0.123208783675411	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0542	mAOC-CD107a	gene	RNA	LAMP1	RNA log-normalized group mean	0.271158594263612	0.416666666666667	0.391762543653868	0.0735269832430181	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0543	mAOC-GARP	gene	RNA	LRRC32	RNA log-normalized group mean	0.102992769415089	-0.0169515875905203	0.172974335593241	0.0106075105517896	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0544	mAOC-MICA	gene	RNA	MICA	RNA log-normalized group mean	-0.587841791351007	-0.4	-0.5875158597442	0.345557971658761	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0545	mAOC-CD335	gene	RNA	NCR1	RNA log-normalized group mean	0.949359603675263	0.460255074815648	1.33356801089554	0.901283657090453	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0548	mAOC-SLC40A1	gene	RNA	SLC40A1	RNA log-normalized group mean	-0.403304078605486	-0.577410912041449	-0.181424712081716	0.16265417981982	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0549	mAOC-CD366	gene	RNA	HAVCR2	RNA log-normalized group mean	0.568818423234432	0.45	1.67708628823949	0.323554398610905	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0550	mAOC-CD262	gene	RNA	TNFRSF10B	RNA log-normalized group mean	-0.551061407532053	-0.383333333333333	-0.0984053888934352	0.303668674871208	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0551	mAOC-CD269	gene	RNA	TNFRSF17	RNA log-normalized group mean	-0.110565062819501	-0.188128033165568	-2.80010566309628	0.0122246331162803	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0553	mAOC-TSHR	gene	RNA	TSHR	RNA log-normalized group mean	-0.525075782455128	-0.423789689763007	-11.3845077131723	0.275704577320865	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0554	mAOC-CD309	gene	RNA	TNFRSF9	RNA log-normalized group mean	-0.0933567256385061	0.116666666666667	-0.0339636267197601	0.00871547822194331	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0555	mAOC-VISTA	gene	RNA	VSIR	RNA log-normalized group mean	-0.742527988013957	-0.9	-0.0345553443299024	0.551347812984055	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0556	mAOC-CD197	gene	RNA	CCR7	RNA log-normalized group mean	0.196015910754792	0.333333333333333	0.0077523423924863	0.0384222372690306	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0561	mAOC-CD32b	gene	RNA	FCGR2B	RNA log-normalized group mean	-0.389866631721752	-0.3	-0.736910029036226	0.151995990530064	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0562	mAOC-CD332	gene	RNA	FGFR2	RNA log-normalized group mean	-0.202394775820556	-0.108916229727434	-0.144137124770376	0.040963645279453	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0564	mAOC-CD338	gene	RNA	ABCG2	RNA log-normalized group mean	-0.207050596864	-0.1	-0.610931835946762	0.0428699496617388	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0567	mAOC-CD20	gene	RNA	MS4A1	RNA log-normalized group mean	0.979008261592927	0.933333333333333	1.13486928676666	0.958457176267206	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0569	mAOC-FZD5	gene	RNA	FZD5	RNA log-normalized group mean	-0.215392270781437	-0.0169515875905203	-24.6185110546619	0.0463938303123839	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0570	mAOC-GLP1R	gene	RNA	GLP1R	RNA log-normalized group mean	-0.410792282175085	-0.0912870929175277	-9.48640271357312	0.168750299094615	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0576	mAOC-SIGLEC15	gene	RNA	SIGLEC15	RNA log-normalized group mean	0.839398947346303	0.127801930084539	49.5560607097502	0.704590592806081	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0580	mAOC-CD202b	gene	RNA	TEK	RNA log-normalized group mean	-0.292666180936581	-0.322080164219885	-0.622888616915664	0.0856534934640038	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0581	mAOC-CD154	gene	RNA	CD40LG	RNA log-normalized group mean	-0.303935237394947	-0.147966007562343	-0.324435507574367	0.0923766285303227	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0582	mAOC-CD46	gene	RNA	CD46	RNA log-normalized group mean	0.353414310675175	0.466666666666667	0.847048619253461	0.124901674990009	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0583	mAOC-CD74	gene	RNA	CD74	RNA log-normalized group mean	0.937574377149728	0.95	0.601707236623787	0.8790457126877	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0584	mAOC-CD116	gene	RNA	CSF2RA	RNA log-normalized group mean	0.969794910016603	0.483333333333333	4.24179847936743	0.940502167494112	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0585	mAOC-FCER1A	gene	RNA	FCER1A	RNA log-normalized group mean	-0.403587277916483	-0.652725378829464	-0.0499915085429627	0.162882690896037	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0586	mAOC-CD50	gene	RNA	ICAM3	RNA log-normalized group mean	-0.586032646809501	-0.666666666666667	-0.0925685995007389	0.343434263126549	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0587	mAOC-CD210b	gene	RNA	IL10RB	RNA log-normalized group mean	0.0242986656286995	0.0833333333333333	0.0294108048639061	0.000590425151335351	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0588	mAOC-CD218a	gene	RNA	IL18R1	RNA log-normalized group mean	-0.377398490391937	-0.533333333333333	-0.16145790106987	0.142429620550113	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0589	mAOC-IL1RAP	gene	RNA	IL1RAP	RNA log-normalized group mean	-0.49096219106048	-0.466666666666667	-0.150387050800809	0.241043873050907	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0590	mAOC-CD360	gene	RNA	IL21R	RNA log-normalized group mean	-0.0811356339460337	0.666666666666667	-0.062532700607621	0.00658299109582478	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0591	mAOC-CD85f	gene	RNA	LILRA5	RNA log-normalized group mean	0.94657182696677	0.474692883171144	16.8340949145047	0.895998223607209	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0592	mAOC-CD85a	gene	RNA	LILRB3	RNA log-normalized group mean	0.983530769720976	0.175733755838702	27.558729409872	0.967332774987935	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0593	mAOC-CD6	gene	RNA	CD6	RNA log-normalized group mean	0.991590678243177	0.474644452534567	2.16306903003662	0.983252073178764	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0598	mAOC-CD89	gene	RNA	FCAR	RNA log-normalized group mean	0.320368984587409	0.257438361173935	0.210490396268308	0.102636286285568	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0599	mAOC-CD23	gene	RNA	FCER2	RNA log-normalized group mean	-0.274610221721365	-0.316666666666667	-0.00793122882716665	0.0754107738738574	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0600	mAOC-CD316	gene	RNA	IGSF8	RNA log-normalized group mean	0.0616346951171636	-0.116666666666667	0.121189407559928	0.00379883564218572	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0601	mAOC-CD126	gene	RNA	IL6R	RNA log-normalized group mean	0.302818036329883	0.6	0.197824405575093	0.0916987631266866	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0602	mAOC-CD132	gene	RNA	IL2RG	RNA log-normalized group mean	0.547858328485054	0.383333333333333	0.152830837376887	0.300148748090438	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0603	mAOC-CD130	gene	RNA	IL6ST	RNA log-normalized group mean	0.581553808968046	0.566666666666667	0.375157537081638	0.338204832725242	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0604	mAOC-CD127	gene	RNA	IL7R	RNA log-normalized group mean	0.910341029375885	0.616666666666667	0.052369974456046	0.828720789765146	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0605	mAOC-CD158k	gene	RNA	KIR3DL2	RNA log-normalized group mean	0.567652517832011	0.237635410314402	45.6794236323163	0.322229381001021	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0606	mAOC-CD98	gene	RNA	SLC3A2	RNA log-normalized group mean	0.424451737898251	0.25	0.6672554818436	0.180159277804846	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0607	mAOC-TGFBR2	gene	RNA	TGFBR2	RNA log-normalized group mean	0.166572073494996	0.15	0.0458108024207883	0.0277462556684225	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0608	mAOC-CDH8	gene	RNA	CDH8	RNA log-normalized group mean	-0.343928372499144	-0.401663208837122	-19.7244075830036	0.11828672540991	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0610	mAOC-CD334	gene	RNA	FGFR4	RNA log-normalized group mean	-0.510202481169679	-0.593305565668209	-137.356450411682	0.260306571791696	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0611	mAOC-CD166	gene	RNA	ALCAM	RNA log-normalized group mean	-0.0227391963419713	0.333333333333333	-0.0180356514375758	0.000517071050278724	9	116	ok	
