feature_id	feature_name	target_class	assay	group_by	expected_positive_groups	prior_method	prior_confidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	step5_needs_manual_review	step5_review_reason	fit_input	gmm_status	gmm_message	gmm_quality_status	gmm_quality_message	adt_signal_class	adt_signal_reason	selected_k	fit_method	fit_n_cells	fit_n_cells_full	fit_n_unique	bic_k1	bic_k2	bic_k3	bic_delta_2_vs_1	bic_delta_3_vs_2	sigma_corrected	selected_threshold_clr	selected_threshold_method	threshold_noise_3sd	threshold_mid_3sd	threshold_intersection_1_2	threshold_intersection_2_3	component1_mean	component2_mean	component3_mean	component1_sd	component2_sd	component3_sd	component1_weight	component2_weight	component3_weight	separation_1_2	separation_2_3	overlap_1_2	overlap_2_3	positive_rate	positive_n_cells	negative_n_cells	snr_raw	tnr_raw	positive_cv_raw	si_raw	rd_raw	dr_raw	target_n_cells	target_positive_rate	non_target_positive_rate	target_dropout_pct
mAOC0544	mAOC-MICA	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		llm_marker_prior:no_vote	0.85	MKP;Monocyte;NK/T	GMP-L;HSC_MPP;MKP	MKP			FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	2	normalmixEM	475	475	475	-171.922915	-15.813857	-13.653628	156.109057	2.160229	FALSE	0.771343	noise_3sd	0.771343	NA	0.639264	NA	0.454323	0.846515	NA	0.105673	0.294283	NA	0.564442	0.435558	NA	0.980586	NA	0.124628	NA	0.895477	119	13170	621.967319	NA	21.452499	6.269441	3.366648	1.025839	0	NA	NA	NA
mAOC0545	mAOC-CD335	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	MKP;Monocyte;NK/T	ERYP;Monocyte;NK/T	Monocyte;NK/T	NK/T	NK/T	FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	rare_or_ambiguous	Low positive rate without clear target enrichment.	2	normalmixEM	671	671	671	-596.782638	-275.050297	-271.301273	321.73234	3.749024	TRUE	0.821969	noise_3sd	0.821969	NA	0.682603	NA	0.49364	1.018088	NA	0.109443	0.357014	NA	0.466663	0.533337	NA	1.124322	NA	0.108135	NA	1.85868	247	13042	530.840268	1.604198	24.131174	6.040637	3.052052	1.170276	116	5.172414	1.8295	67.241379
mAOC0548	mAOC-SLC40A1	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	ERYP;Monocyte	llm_marker_prior	0.82	MKP;Monocyte;NK/T	ERYP;GMP-L;MKP	MKP	Monocyte	ERYP	FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	rare_or_ambiguous	Low positive rate without clear target enrichment.	3	normalmixEM	650	650	650	-437.156193	-168.357518	-155.041202	268.798674	13.316316	TRUE	0.784669	noise_3sd	0.784669	1.262017	0.632872	1.011593	0.461805	0.771167	1.204969	0.107622	0.163617	0.275325	0.484676	0.297586	0.217737	1.140558	0.98829	0.086344	0.073609	1.66303	221	13068	477.532302	2.268081	22.891128	5.831597	3.14302	1.094997	635	2.204724	1.635846	93.543307
mAOC0549	mAOC-CD366	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	CLP;HSC_MPP;Monocyte	CLP;MEBEMP-L;Monocyte	CLP;Monocyte			FALSE		clr_positive_only	ok		trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	3	normalmixEM	3000	7007	6988	-7203.050524	-5294.575046	-5093.269073	1908.475477	201.305973	TRUE	0.998608	noise_3sd	0.998608	2.094015	0.811633	1.525249	0.613804	1.179989	2.200007	0.128268	0.304675	0.602421	0.184266	0.276684	0.53905	1.307759	1.124487	0.042611	0.10629	37.391828	4969	8320	45.211406	NA	31.312105	2.930826	1.948808	1.858145	0	NA	NA	NA
mAOC0550	mAOC-CD262	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		llm_marker_prior:no_vote	0.85	MKP;Monocyte;NK/T	CLP;HSC_MPP;Monocyte	Monocyte			FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	2	normalmixEM	324	324	324	-74.503642	12.18438	15.896626	86.688022	3.712246	FALSE	0.838118	noise_3sd	0.838118	NA	0.688836	NA	0.437344	0.839824	NA	0.133591	0.288321	NA	0.703816	0.296184	NA	0.953943	NA	0.109746	NA	0.338626	45	13244	972.410929	NA	17.257808	7.563872	4.161991	1.078599	0	NA	NA	NA
mAOC0551	mAOC-CD269	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	MKP;Monocyte;NK/T	B;HSC_MPP;MEBEMP-L			B	TRUE	No observed ADT-high group overlaps expected prior groups.	clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	3	normalmixEM	743	743	743	-748.579741	-302.244115	-291.994511	446.335625	10.249604	TRUE	0.830866	noise_3sd	0.830866	1.078839	0.690884	0.874138	0.488934	0.769649	1.186439	0.113977	0.103063	0.358311	0.495407	0.124889	0.379704	1.293374	0.903365	0.0467	0.079047	1.99413	265	13024	440.852217	1.525663	24.484742	5.918566	3.000645	1.224756	652	2.607362	1.962491	93.09816
mAOC0553	mAOC-TSHR	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		llm_marker_prior:no_vote	0.9	MKP;Monocyte;NK/T	GMP-L;MEBEMP-L;MKP	MKP			FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	2	normalmixEM	213	213	213	70.138372	110.650012	99.903047	40.51164	-10.746965	FALSE	0.714634	noise_3sd	0.714634	NA	0.606601	NA	0.357729	0.74391	NA	0.118968	0.179223	NA	0.815309	0.184691	NA	1.295078	NA	0.055822	NA	0.173075	23	13266	732.106661	NA	13.080758	9.063067	5.353422	0.8605	0	NA	NA	NA
mAOC0554	mAOC-CD309	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;MKP;NK/T	MEBEMP-L;MKP;Monocyte	MKP	NK/T		TRUE	No observed validation-high group overlaps expected prior groups.	clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	2	normalmixEM	492	492	492	-179.513916	17.485617	10.444846	196.999533	-7.040771	FALSE	0.789115	noise_3sd	0.789115	NA	0.670194	NA	0.466025	0.890991	NA	0.107697	0.294354	NA	0.624785	0.375215	NA	1.056998	NA	0.101877	NA	0.857852	114	13175	531.523888	2.332623	20.509581	6.198819	3.466116	1.053607	116	3.448276	0.835041	68.103448
mAOC0555	mAOC-VISTA	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	Monocyte	local_marker_prior	0.95	B;Monocyte;NK/T	CLP;HSC_MPP;MEBEMP-L		Monocyte		TRUE	No observed validation-high group overlaps expected prior groups.	clr_positive_only	unimodal_like	BIC did not support k >= 2.	unimodal_like	BIC did not support k >= 2.	target_raw_enriched_no_threshold	Target raw UMI is enriched, but no usable threshold was selected.	1		138	138	138	103.588624	109.59118	99.709613	6.002556	-9.881567	FALSE	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.941681	NA	NA	NA	NA	195	NA	NA	96.923077
mAOC0556	mAOC-CD197	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	MKP;Monocyte;NK/T	B;CLP;NK/T	NK/T	NK/T	NK/T	FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	2	normalmixEM	357	357	357	-36.669073	83.327376	71.719078	119.996449	-11.608298	TRUE	0.850965	noise_3sd	0.850965	NA	0.704397	NA	0.434107	0.865418	NA	0.138952	0.25629	NA	0.746946	0.253054	NA	1.091255	NA	0.086362	NA	0.346151	46	13243	733.707235	1.83506	15.278172	7.109201	4.450388	1.054856	116	1.724138	0.334017	81.034483
mAOC0561	mAOC-CD32b	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;Monocyte	local_marker_prior	0.95	MKP;Monocyte;NK/T	B;HSC_MPP;MEBEMP-L		Monocyte	B	FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	rare_or_ambiguous	Low positive rate without clear target enrichment.	2	normalmixEM	308	308	308	-111.133183	-32.54887	-40.081633	78.584313	-7.532763	FALSE	0.777756	noise_3sd	0.777756	NA	0.625319	NA	0.41133	0.82271	NA	0.122142	0.285161	NA	0.610089	0.389911	NA	1.01001	NA	0.119089	NA	0.459026	61	13228	980.879146	2.75428	19.159005	7.94667	3.90495	1.033204	847	0.708383	0.442051	96.576151
mAOC0562	mAOC-CD332	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		llm_marker_prior:no_vote	0.85	B;MKP;NK/T	GMP-L;HSC_MPP;MKP	MKP			FALSE		clr_positive_only	fit_failed	Too few cells in fit input.	fit_failed	Too few cells in fit input.	no_target_no_signal	No expected target groups and global raw/CLR signal is low.	NA		19	NA	19	NA	NA	NA	NA	NA	FALSE	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
mAOC0564	mAOC-CD338	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	local_marker_prior	0.95	MKP;Monocyte;NK/T	ERYP;MKP;NK/T	MKP;NK/T			TRUE	No observed ADT-high group overlaps expected prior groups.	clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	2	normalmixEM	211	211	211	115.686169	129.756981	119.065132	14.070811	-10.691849	FALSE	0.671115	noise_3sd	0.671115	NA	0.515851	NA	0.334252	0.554011	NA	0.112288	0.19896	NA	0.672019	0.327981	NA	0.706058	NA	0.174419	NA	0.13545	18	13271	426.49701	0.55275	16.168735	8.528125	4.516698	0.801462	8254	0.060577	0.258193	98.885389
mAOC0567	mAOC-CD20	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;Monocyte;NK/T	B;CLP;NK/T	B;NK/T	B	B	FALSE		clr_positive_only	ok		trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	3	normalmixEM	1645	1645	1645	-5308.760047	-3989.861399	-3513.204678	1318.898647	476.656721	TRUE	1.122324	noise_3sd	1.122324	1.849761	0.768132	1.625071	0.525562	0.991358	2.984618	0.198921	0.286134	0.687323	0.304581	0.28241	0.413009	0.960294	2.047609	0.09538	0.013678	6.162992	819	12470	184.1469	71.841386	32.742181	7.806449	2.520281	2.659552	652	98.006135	1.424389	0.460123
