feature_id	feature_name	target_class	assay	group_by	expected_positive_groups	prior_method	prior_confidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	step5_needs_manual_review	step5_review_reason	target_status	n_cells	n_nonzero_raw	zero_rate	nonzero_rate	mean_clr	median_clr	sd_clr	min_clr	q05_clr	q25_clr	q75_clr	q95_clr	max_clr	dynamic_range_clr	raw_mean_umi	raw_median_umi	raw_total_umi	selected_threshold_clr	selected_threshold_method	positive_rate	positive_n_cells	negative_n_cells	target_n_cells	non_target_n_cells	target_positive_rate	non_target_positive_rate	snr_raw	tnr_raw	target_dropout_pct	positive_cv_raw	distribution_status	gmm_quality_status	gmm_quality_message	adt_signal_class	adt_signal_reason	message
mAOC0315	mAOC-CD3	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;MKP;NK/T	CLP;HSC_MPP;NK/T	NK/T	NK/T	NK/T	FALSE		ok	13289	975	92.663105	7.336895	0.068274	0	0.29129	0	0	0	0	0.558051	3.953305	0.558051	0.669125	0	8892	0.861975	noise_3sd	3.032583	403	12886	116	13173	37.068966	2.732863	320.346195	33.252477	44.827586	43.211528	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	; 
mAOC0319	mAOC-CD79b	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;Monocyte;NK/T	B;CLP;NK/T	B;NK/T	B	B	FALSE		ok	13289	361	97.283468	2.716532	0.014381	0	0.094194	0	0	0	0	0	1.486616	0	0.137031	0	1821	0.543286	noise_3sd	0.970728	129	13160	652	12637	11.96319	0.403577	421.280926	5.213529	75.460123	26.686109	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	; 
mAOC0321	mAOC-CD57	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	GMP-L;MKP;Monocyte	HSC_MPP;MEBEMP-L				TRUE	No observed ADT-high group overlaps expected prior groups.	ok	13289	59	99.556024	0.443976	0.002633	0	0.054681	0	0	0	0	0	3.480445	0	0.010234	0	136	1.057277	noise_3sd	0.022575	3	13286	116	13173	0	0.022774	2466.666667	0	100	46.399876	ok	rare_positive	Positive rate is below pass threshold.	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	; 
mAOC0324	mAOC-CD49d	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	MKP;Monocyte;NK/T	ERYP;GMP-L;NK/T	NK/T			FALSE		no_target_groups	13289	214	98.389646	1.610354	0.006909	0	0.059036	0	0	0	0	0	1.002518	0	0.104824	0	1393	0.750188	noise_3sd	0.1505	20	13269	0	13289	NA	NA	577.067919	NA	NA	8.700128	ok	rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	; No expected_positive_groups available for TNR.
mAOC0326	mAOC-CD5	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;CLP;NK/T	llm_marker_prior	0.9	B;CLP;NK/T	B;Monocyte;NK/T	B;NK/T	B;CLP;NK/T	B;NK/T	FALSE		ok	13289	1529	88.494243	11.505757	0.162725	0	0.578775	0	0	0	0	1.191825	5.244788	1.191825	1.753556	0	23303	0.99327	noise_3sd	5.688916	756	12533	1274	12015	49.450549	1.048689	200.33275	46.038249	35.871272	44.155164	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	; 
mAOC0330	mAOC-CD49b	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	B;MKP;NK/T	HSC_MPP;MEBEMP-L;MKP	MKP			FALSE		no_target_groups	13289	85	99.360373	0.639627	0.001993	0	0.047695	0	0	0	0	0	4.468302	0	0.025359	0	337	0.317293	noise_3sd	0.173075	23	13266	0	13289	NA	NA	451.660455	NA	NA	123.55268	ok	rare_positive	Positive rate is below pass threshold.	no_target_no_signal	No expected target groups, low positive rate, and low global signal.	; No expected_positive_groups available for TNR.
mAOC0331	mAOC-CD226	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	Monocyte;NK/T	llm_marker_prior	0.85	MKP;Monocyte;NK/T	MKP;Monocyte;NK/T	MKP;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	FALSE		ok	13289	747	94.37881	5.62119	0.049261	0	0.243449	0	0	0	0	0.400183	3.546953	0.400183	0.430055	0	5715	0.892027	noise_3sd	1.96403	261	13028	311	12978	28.29582	1.333025	282.564799	9.879358	41.157556	39.918636	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	; 
mAOC0334	mAOC-CD96	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	llm_marker_prior	0.85	B;ERYP;MEBEMP-L	B;CLP;NK/T	B		NK/T	TRUE	No observed ADT-high group overlaps LLM expected groups.	ok	13289	155	98.833622	1.166378	0.006457	0	0.06112	0	0	0	0	0	0.990639	0	0.01189	0	158	1.231166	noise_3sd	0	0	13289	116	13173	0	0	NA	0.723314	99.137931	NA	ok	rare_positive	Positive rate is below pass threshold.	no_target_enrichment	Target and non-target signal are not clearly separated.	; 
mAOC0336	mAOC-CD34	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	HSC_MPP;MEBEMP-L	local_marker_prior	0.95	CLP;HSC_MPP;MKP	CLP;HSC_MPP;MKP	CLP;HSC_MPP;MKP	HSC_MPP	HSC_MPP	FALSE		ok	13289	10023	24.576718	75.423282	0.921834	0.975298	0.689577	0	0	0.424879	1.448384	2.072417	3.610346	2.072417	2.983595	2	39649	0.878512	noise_3sd	54.014599	7178	6111	10152	3137	60.766351	32.164488	7.777286	1.773551	17.986604	28.268832	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	; 
mAOC0339	mAOC-CD133	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	local_marker_prior	0.95	B;ERYP;GMP-L	CLP;GMP-L;HSC_MPP	GMP-L		HSC_MPP	TRUE	No observed ADT-high group overlaps expected prior groups.	ok	13289	9	99.932275	0.067725	0.000401	0	0.015526	0	0	0	0	0	0.76723	0	0.000903	0	12	NA		NA	NA	NA	8254	5035	NA	NA	NA	0.072692	99.963654	NA	fit_failed	fit_failed	Too few cells in fit input.	no_target_enrichment	No threshold and no clear target raw enrichment.	Too few cells in fit input.; 
mAOC0341	mAOC-HLA-DRA	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;Monocyte	llm_marker_prior	0.9	B;GMP-L	B;CLP;Monocyte	B	B	B;Monocyte	FALSE		ok	13289	7	99.947325	0.052675	0.000248	0	0.011597	0	0	0	0	0	0.612484	0	0.000527	0	7	NA		NA	NA	NA	847	12442	NA	NA	NA	0.708383	99.291617	NA	fit_failed	fit_failed	Too few cells in fit input.	no_target_enrichment	No threshold and no clear target raw enrichment.	Too few cells in fit input.; 
mAOC0440	mAOC-CD70	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;NK/T	local_marker_prior	0.95	ERYP;MEBEMP-L;MKP	ERYP;HSC_MPP;MEBEMP-L	ERYP;MEBEMP-L			TRUE	No observed ADT-high group overlaps expected prior groups.	ok	13289	3805	71.367296	28.632704	0.366416	0	0.696052	0	0	0	0.604372	1.934306	5.525624	1.934306	2.158477	0	28684	0.952341	noise_3sd	17.555873	2333	10956	768	12521	10.15625	18.009744	72.71937	0.78895	78.385417	38.529428	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	; 
mAOC0442	mAOC-CD105	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	ERYP;MEBEMP-L	local_marker_prior	0.95	MKP;Monocyte;NK/T	CLP;HSC_MPP;Monocyte	Monocyte			TRUE	No observed ADT-high group overlaps expected prior groups.	ok	13289	387	97.087817	2.912183	0.016295	0	0.102162	0	0	0	0	0	1.248092	0	0.19994	0	2657	0.851198	noise_3sd	0.466551	62	13227	2338	10951	0.342173	0.493106	603.434996	0.587226	97.818648	9.106265	ok	rare_positive	Positive rate is below pass threshold.	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	; 
mAOC0444	mAOC-CD124	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;Monocyte	local_marker_prior	0.95	B;Monocyte;NK/T	B;CLP;Monocyte	B;Monocyte	B;Monocyte	B;Monocyte	FALSE		ok	13289	1540	88.411468	11.588532	0.094718	0	0.294909	0	0	0	0	0.78003	2.619217	0.78003	0.575062	0	7642	0.750328	noise_3sd	5.214839	693	12596	847	12442	40.141677	2.837164	119.078247	7.040492	40.613932	31.309609	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	; 
mAOC0448	mAOC-CD155	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	MKP;Monocyte;NK/T	GMP-L;HSC_MPP;Monocyte	Monocyte			FALSE		no_target_groups	13289	406	96.944842	3.055158	0.01876	0	0.118001	0	0	0	0	0	1.788199	0	0.250658	0	3331	0.829375	noise_3sd	0.624577	83	13206	0	13289	NA	NA	533.689204	NA	NA	20.992263	ok	rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	; No expected_positive_groups available for TNR.
mAOC0450	mAOC-CD40	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;Monocyte	local_marker_prior	0.95	B;MKP;Monocyte	B;Monocyte;NK/T	B;Monocyte	B;Monocyte	B;Monocyte	FALSE		ok	13289	2360	82.240951	17.759049	0.22552	0	0.585851	0	0	0	0	1.657562	3.760563	1.657562	1.245918	0	16557	0.933593	noise_3sd	9.842727	1308	11981	847	12442	87.131051	4.581257	73.039984	26.179929	4.72255	36.669726	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	; 
mAOC0451	mAOC-CD40	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;Monocyte	local_marker_prior	0.95	B;MKP;Monocyte	B;Monocyte;NK/T	B;Monocyte	B;Monocyte	B;Monocyte	FALSE		ok	13289	2360	82.240951	17.759049	0.22552	0	0.585851	0	0	0	0	1.657562	3.760563	1.657562	1.245918	0	16557	0.98516	noise_3sd	9.2031	1223	12066	847	12442	85.123967	4.034721	62.221371	26.179929	4.72255	34.600452	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	; 
mAOC0452	mAOC-CD154	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	MKP;Monocyte;NK/T	ERYP;MEBEMP-L;MKP	MKP	NK/T		TRUE	No observed validation-high group overlaps expected prior groups.	ok	13289	470	96.46324	3.53676	0.022308	0	0.132325	0	0	0	0	0	3.038465	0	0.266611	0	3543	0.793584	noise_3sd	0.842802	112	13177	116	13173	2.586207	0.82745	592.467936	1.757598	75	28.824238	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	; 
mAOC0453	mAOC-HLA-ABC	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	MKP;Monocyte;NK/T	B;Monocyte;NK/T	Monocyte;NK/T			FALSE		no_target_groups	13289	521	96.079464	3.920536	0.026335	0	0.144489	0	0	0	0	0	1.624765	0	0.354729	0	4714	0.758273	noise_3sd	1.271728	169	13120	0	13289	NA	NA	641.350368	NA	NA	21.796911	ok	rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	; No expected_positive_groups available for TNR.
