feature_id	feature_name	target_class	human_gene_symbol	external_target_name	validation_assay	validation_feature	mapping_method	mapping_confidence	llm_suggested_target_class	llm_suggested_gene_symbol	llm_confidence	llm_reason	needs_manual_review	manual_curated_target_class	manual_curated_gene_symbol	manual_notes
mAOC0602	mAOC-CD132	gene	IL2RG		RNA	IL2RG	map:id_left_join	0.95					FALSE			
mAOC0603	mAOC-CD130	gene	IL6ST		RNA	IL6ST	map:id_left_join	0.95					FALSE			
mAOC0604	mAOC-CD127	gene	IL7R		RNA	IL7R	map:id_left_join	0.95					FALSE			
mAOC0605	mAOC-CD158k	gene	KIR3DL2		RNA	KIR3DL2	map:id_left_join	0.95					FALSE			
mAOC0606	mAOC-CD98	gene	SLC3A2		RNA	SLC3A2	map:id_left_join	0.95					FALSE			
mAOC0607	mAOC-TGFBR2	gene	TGFBR2		RNA	TGFBR2	map:id_left_join	0.95					FALSE			
mAOC0608	mAOC-CDH8	gene	CDH8		RNA	CDH8	map:id_left_join	0.95					FALSE			
mAOC0610	mAOC-CD334	gene	FGFR4		RNA	FGFR4	map:id_left_join	0.95					FALSE			
mAOC0611	mAOC-CD166	gene	ALCAM		RNA	ALCAM	map:id_left_join	0.95					FALSE			
mAOC0613	mAOC-CD66a	gene	CEACAM1		RNA	CEACAM1	map:id_left_join	0.95					FALSE			
mAOC0614	mAOC-F2	gene	F2		RNA	F2	map:id_left_join	0.95					FALSE			
mAOC0615	mAOC-SIGIRR	gene	SIGIRR		RNA	SIGIRR	map:id_left_join	0.95					FALSE			
mAOC0616	mAOC-CTSS	gene	CTSS		RNA	CTSS	map:id_left_join	0.95					FALSE			
mAOC0617	mAOC-CSF3	gene	CSF3		RNA	CSF3	map:id_left_join	0.95					FALSE			
mAOC0618	mAOC-SORT1	gene	SORT1		RNA	SORT1	map:id_left_join	0.95					FALSE			
mAOC0619	mAOC-ROR2	gene	ROR2		RNA	ROR2	map:id_left_join	0.95					FALSE			
mAOC0629	mAOC-TSPAN8	gene	TSPAN8		RNA	TSPAN8	map:id_left_join	0.95					FALSE			
mAOC0630	mAOC-CD84	gene	CD84		RNA	CD84	map:id_left_join	0.95					FALSE			
mAOC363	mAOC-CD47	ambiguous			manual		unresolved	0.00					TRUE			
mAOC365	mAOC-CD29	ambiguous			manual		unresolved	0.00					TRUE			
mAOC366	mAOC-CD244	ambiguous			manual		unresolved	0.00					TRUE			
mAOC373	mAOC-CD81	ambiguous			manual		unresolved	0.00					TRUE			
mAOC374	mAOC-CD32	ambiguous			manual		unresolved	0.00					TRUE			
mAOC375	mAOC-CD162	ambiguous			manual		unresolved	0.00					TRUE			
mAOC376	mAOC-CD357	ambiguous			manual		unresolved	0.00					TRUE			
mAOC377	mAOC-CD326	ambiguous			manual		unresolved	0.00					TRUE			
mAOC378	mAOC-TGFBI	ambiguous			manual		unresolved	0.00					TRUE			
mAOC379	mAOC-CD68	ambiguous			manual		unresolved	0.00					TRUE			
mAOC381	mAOC-CD102	ambiguous			manual		unresolved	0.00					TRUE			
mAOC382	mAOC-TIGIT	ambiguous			manual		unresolved	0.00					TRUE			
mAOC383	mAOC-CD146	ambiguous			manual		unresolved	0.00					TRUE			
mAOC384	mAOC-CD158b2	ambiguous			manual		unresolved	0.00					TRUE			
mAOC386	mAOC-CD85j	ambiguous			manual		unresolved	0.00					TRUE			
mAOC387	mAOC-CD119	ambiguous			manual		unresolved	0.00					TRUE			
mAOC388	mAOC-CD305	ambiguous			manual		unresolved	0.00					TRUE			
mAOC391	mAOC-CD304	ambiguous			manual		unresolved	0.00					TRUE			
mAOC392	mAOC-CD352	ambiguous			manual		unresolved	0.00					TRUE			
mAOC411	mAOC-CD122	ambiguous			manual		unresolved	0.00					TRUE			
mAOC413	mAOC-CD116	ambiguous			manual		unresolved	0.00					TRUE			
mAOC415	mAOC-CD158b1	ambiguous			manual		unresolved	0.00					TRUE			
mAOC416	mAOC-CD278	ambiguous			manual		unresolved	0.00					TRUE			
mAOC417	mAOC-CD18	ambiguous			manual		unresolved	0.00					TRUE			
mAOC419	mAOC-CD11a	ambiguous			manual		unresolved	0.00					TRUE			
mAOC421	mAOC-CD37	ambiguous			manual		unresolved	0.00					TRUE			
mAOC422	mAOC-CD26	ambiguous			manual		unresolved	0.00					TRUE			
mAOC423	mAOC-CD39	ambiguous			manual		unresolved	0.00					TRUE			
mAOC426	mAOC-CD172a	ambiguous			manual		unresolved	0.00					TRUE			
